       X(m)            Y(m)              Y(m)         
   -1132914.4734    6092528.1896    1504633.2893
   -1132914.5024    6092528.2068    1504633.2718
   -1132914.5182    6092528.1813    1504633.2435
   -1132914.5416    6092528.1791    1504633.2170
   -1132914.5677    6092528.1930    1504633.1968
   -1132914.5979    6092528.2016    1504633.1779
   -1132914.6207    6092528.1888    1504633.1500
   -1132914.6588    6092528.1475    1504633.1021
   -1132914.6915    6092528.1570    1504633.0810
   -1132914.7156    6092528.1410    1504633.0339
   -1132914.7450    6092528.1080    1504633.0013
   -1132914.7620    6092528.0933    1504632.9646
   -1132914.7201    6092528.8121    1504633.3812
   -1132914.7373    6092528.8446    1504633.3771
   -1132914.7477    6092528.8545    1504633.3850
   -1132914.7647    6092528.8862    1504633.3876
   -1132914.7717    6092528.8792    1504633.3880
   -1132914.7700    6092528.8637    1504633.3838
   -1132914.7964    6092528.8962    1504633.3878
   -1132914.8085    6092528.9157    1504633.3970
   -1132914.7971    6092528.9319    1504633.3961
   -1132914.8012    6092528.9436    1504633.3921
   -1132914.7956    6092528.9586    1504633.4050
   -1132914.7893    6092528.9631    1504633.4000
   -1132914.7877    6092528.9799    1504633.4158
   -1132914.7815    6092528.9999    1504633.4250
   -1132914.7755    6092529.0125    1504633.4264
   -1132914.7696    6092529.0112    1504633.4344
   -1132914.7697    6092529.0134    1504633.4317
   -1132914.7648    6092528.9986    1504633.4418
   -1132914.7645    6092529.0156    1504633.4472
   -1132914.7575    6092529.0249    1504633.4446
   -1132914.7706    6092529.0613    1504633.4540
   -1132914.7787    6092529.0701    1504633.4554
   -1132914.7792    6092529.0869    1504633.4584
   -1132914.7740    6092529.0662    1504633.4572
   -1132914.7895    6092529.0797    1504633.4490
   -1132914.7991    6092529.1077    1504633.4589
   -1132914.8031    6092529.1002    1504633.4541
   -1132914.7996    6092529.1091    1504633.4534
   -1132914.7944    6092529.1137    1504633.4596
   -1132914.8149    6092529.0848    1504633.4479
   -1132914.8231    6092529.1033    1504633.4543
   -1132914.8205    6092529.0922    1504633.4627
   -1132914.8159    6092529.1042    1504633.4622
   -1132914.8174    6092529.1010    1504633.4638
   -1132914.8271    6092529.0846    1504633.4583
   -1132914.8287    6092529.0797    1504633.4618
