       X(m)            Y(m)              Y(m)         
   -1132914.7351    6092529.8424    1504633.8679
   -1132914.7351    6092529.8472    1504633.8677
   -1132914.7312    6092529.8174    1504633.8671
   -1132914.7247    6092529.7923    1504633.8627
   -1132914.7163    6092529.7794    1504633.8607
   -1132914.7225    6092529.7644    1504633.8573
   -1132914.7214    6092529.7632    1504633.8523
   -1132914.7113    6092529.7593    1504633.8556
   -1132914.7096    6092529.7225    1504633.8450
   -1132914.7152    6092529.7175    1504633.8441
   -1132914.7108    6092529.7100    1504633.8416
   -1132914.7113    6092529.7042    1504633.8347
   -1132914.7169    6092529.6971    1504633.8391
   -1132914.7201    6092529.6982    1504633.8418
   -1132914.7214    6092529.6951    1504633.8405
   -1132914.7094    6092529.6856    1504633.8390
   -1132914.7049    6092529.6561    1504633.8203
   -1132914.7173    6092529.6494    1504633.8226
   -1132914.7135    6092529.6409    1504633.8188
   -1132914.7101    6092529.6433    1504633.8173
   -1132914.7094    6092529.6170    1504633.8204
   -1132914.6942    6092529.6194    1504633.8233
   -1132914.6839    6092529.5990    1504633.8162
   -1132914.6823    6092529.5751    1504633.8145
   -1132914.6846    6092529.5608    1504633.8151
   -1132914.6842    6092529.5536    1504633.8149
   -1132914.6789    6092529.5304    1504633.8096
   -1132914.6780    6092529.5244    1504633.8031
   -1132914.6746    6092529.5111    1504633.7975
   -1132914.6725    6092529.4991    1504633.7965
   -1132914.6683    6092529.4838    1504633.7946
   -1132914.6660    6092529.4816    1504633.7952
   -1132914.6672    6092529.4619    1504633.7924
   -1132914.6677    6092529.4545    1504633.7910
   -1132914.6685    6092529.4576    1504633.7909
   -1132914.6707    6092529.4681    1504633.7949
   -1132914.6791    6092529.4595    1504633.7872
   -1132914.6744    6092529.4402    1504633.7904
   -1132914.6683    6092529.4306    1504633.7851
   -1132914.6660    6092529.4269    1504633.7791
